dormitorios,baños,pies_cuadrados_vivienda,pisos,pies_cuadrados_sin_sotano,pies_cuadrados_sótano,pies_cuadrados_vivienda_15,precio,estado,frente_al_mar,vista,código_postal
4,2.0,2360,2.0,2360,0,1730,640000,4,0,0,98107
4,1.0,1220,1.0,890,330,1290,240000,2,0,0,98001
4,2.5,2620,2.0,2620,0,2620,605000,3,0,0,98056
4,2.5,2570,2.0,2570,0,2470,625000,3,0,0,98074
4,2.25,4220,1.0,2600,1620,2410,775000,3,0,0,98166
5,2.75,3595,2.0,3595,0,3625,861990,3,0,0,98053
3,1.0,1570,2.0,1570,0,1580,685000,3,0,0,98119
3,1.0,1280,1.0,920,360,1340,309000,4,0,0,98058
3,2.5,3160,2.0,3160,0,3050,488000,3,0,0,98019
3,1.0,990,1.0,990,0,1228,210490,3,0,0,98023
4,2.5,2290,2.0,2290,0,2680,785000,4,0,0,98007
3,1.75,1250,1.0,1250,0,970,450000,4,0,0,98115
3,1.0,1190,1.0,1190,0,1190,228000,3,0,0,98148
5,2.5,3150,1.0,1640,1510,1990,345000,4,0,0,98056
3,1.75,1410,1.0,1000,410,1410,600000,4,0,0,98117
2,1.75,1980,1.0,990,990,1480,585000,3,0,0,98117
5,2.25,2730,1.5,2130,600,2730,920000,3,0,0,98105
4,2.5,2830,2.0,2830,0,1950,885000,3,0,0,98105
4,2.5,2250,2.0,2250,0,2250,292500,3,0,0,98042
3,2.5,2420,2.0,2420,0,2690,301000,3,0,0,98042
5,3.25,3250,2.0,3250,0,2960,951000,4,0,4,98008
4,3.0,1850,2.0,1850,0,2270,430000,3,0,0,98059
3,2.25,2150,1.0,1590,560,2570,650000,4,0,3,98166
3,1.75,1260,1.0,1260,0,1290,289000,3,0,0,98148
3,1.75,2519,2.0,2519,0,2500,505000,5,0,0,98166
3,1.75,1540,3.0,1540,0,1580,549000,3,0,0,98115
3,2.25,1660,1.0,1110,550,1440,425000,3,0,0,98122
3,2.75,2770,1.5,1770,1000,1440,317625,5,0,0,98144
4,2.5,2720,2.0,2720,0,2750,975000,3,0,0,98004
4,2.5,2240,2.0,2240,0,2221,287000,3,0,0,98001
3,1.0,1000,1.0,1000,0,1010,204000,4,0,0,98042
5,3.25,4770,1.0,3070,1700,3530,1040000,4,0,0,98005
3,2.0,1260,1.0,1260,0,1640,325000,4,0,0,98034
4,2.0,2750,1.5,2250,500,1510,571000,5,0,0,98125
4,2.5,2380,2.0,2380,0,2420,360000,3,0,0,98038
3,1.75,1790,1.0,1090,700,1940,349000,5,0,0,98042
4,4.0,3430,2.0,2390,1040,3240,832500,4,0,0,98075
4,1.75,1760,1.0,880,880,1680,380000,3,0,0,98008
3,1.0,1040,1.0,1040,0,890,480000,3,0,0,98116
3,1.0,1410,1.0,910,500,1130,410000,4,0,0,98133
4,2.5,3450,2.0,3450,0,3350,720000,3,0,0,98010
3,2.5,2350,2.0,2350,0,2350,390000,3,0,0,98038
4,2.5,1900,2.0,1900,0,1870,360000,3,0,0,98038
2,1.0,2020,1.0,1010,1010,1720,355000,3,0,0,98118
3,1.5,1680,1.0,1680,0,1850,356000,3,0,0,98059
3,1.0,960,1.0,960,0,1570,315000,3,0,0,98125
3,1.5,2140,2.0,1900,240,2020,940000,3,0,0,98119
5,2.25,2660,1.5,2660,0,1590,305000,5,0,0,98092
3,3.25,2770,2.0,1980,790,1900,461000,3,0,0,98056
2,2.25,1610,2.0,1610,0,1950,215000,4,0,0,98056
2,1.75,1030,2.0,765,265,1030,335000,3,0,0,98136
4,2.5,1980,2.0,1980,0,1980,243500,3,0,0,98023
5,2.75,3520,2.0,3520,0,2520,1100000,4,0,0,98199
3,1.0,1200,1.0,1200,0,1350,153000,3,0,0,98023
3,1.5,1580,1.0,1290,290,1570,430000,3,0,0,98117
3,1.5,1580,1.0,1290,290,1570,700000,3,0,0,98117
4,2.5,3300,1.0,2390,910,1950,905000,3,0,0,98040
3,1.75,1960,1.0,1960,0,1750,247500,3,0,0,98032
4,1.5,1160,1.0,1160,0,1160,199000,4,0,0,98023
3,1.75,1810,1.0,1210,600,1650,314000,5,0,0,98038
3,2.5,2320,2.0,2320,0,2550,437500,3,0,2,98045
3,2.5,2070,1.5,1270,800,2200,850830,5,0,0,98102
3,2.0,1980,1.5,1440,540,1610,555000,4,0,0,98117
3,2.25,2190,2.0,2190,0,2570,699950,4,0,0,98077
3,2.5,2920,2.0,2920,0,2370,1090000,3,0,0,98004
3,1.0,1210,1.0,1210,0,1640,290000,3,0,0,98058
3,2.5,2340,1.0,1460,880,2250,375000,4,0,0,98058
3,1.0,1670,1.5,1170,500,1240,460000,4,0,0,98117
2,1.75,1240,1.0,1240,0,1270,188500,4,0,0,98198
4,2.5,3140,2.0,3140,0,2990,680000,4,0,0,98077
5,1.75,2030,2.0,2030,0,2500,470000,4,0,0,98052
4,2.5,2310,2.0,2310,0,1940,597750,3,0,0,98027
3,1.75,1260,1.0,700,560,1380,570000,5,0,0,98103
3,1.75,1540,1.0,1160,380,1540,272500,4,0,0,98038
3,1.75,2080,1.0,1080,1000,2090,329950,3,0,2,98108
4,2.5,3230,2.0,2520,710,2640,480000,3,0,3,98001
3,3.5,4380,2.0,2780,1600,1830,740500,3,0,0,98117
3,3.5,1590,3.0,1590,0,1620,518500,3,0,0,98103
2,1.0,880,1.0,880,0,1190,205425,4,0,0,98178
4,2.0,1570,1.0,1570,0,1880,171800,3,0,0,98168
4,1.0,1610,1.5,1610,0,1610,535000,4,0,0,98144
3,2.5,2400,1.0,1560,840,2340,660000,3,0,2,98177
3,2.0,1450,1.0,1450,0,1580,391500,3,0,0,98034
2,1.0,770,1.0,770,0,1710,395000,3,0,0,98117
4,1.75,2100,1.5,1720,380,1850,445000,5,0,0,98118
3,2.25,2910,2.0,2910,0,2700,770000,3,0,0,98052
3,2.25,2100,1.0,1620,480,2660,445000,3,0,2,98178
4,2.25,2160,1.0,1360,800,2090,260000,3,0,0,98023
5,3.5,2320,2.0,1720,600,1700,822500,5,0,0,98103
4,2.5,2070,2.0,2070,0,1970,430000,3,0,0,98065
3,1.75,1060,1.0,1060,0,1420,212000,4,0,0,98092
4,2.25,2010,1.0,1440,570,2060,660500,3,0,0,98027
3,3.5,3950,1.5,2460,1490,2480,784000,3,0,0,98052
3,2.5,2010,2.0,1390,620,1690,453246,3,0,0,98029
4,3.5,2140,3.0,2140,0,1540,675000,3,0,0,98107
3,1.75,1320,1.0,1320,0,1550,199000,4,0,0,98003
4,1.75,2020,1.0,1010,1010,1750,220000,3,0,0,98003
4,2.25,2590,1.0,1340,1250,1550,452000,4,0,0,98028
2,1.0,1190,1.0,1190,0,1060,382500,3,0,0,98125
3,2.25,1170,3.0,1170,0,1350,519950,3,0,0,98107
2,1.0,1110,1.0,1110,0,1170,665000,3,0,0,98119
5,2.5,2820,1.0,1550,1270,2820,527700,4,0,0,98006
3,1.0,1610,1.0,1010,600,1610,205000,4,0,0,98058
3,1.0,1060,1.0,940,120,1560,420000,4,0,0,98133
4,2.25,2030,1.0,1380,650,2230,500000,4,0,0,98006
4,2.5,3670,2.0,3670,0,2840,921500,4,0,0,98077
4,1.0,2550,2.0,2370,180,2200,890000,3,0,0,98109
2,2.5,2420,2.0,2420,0,1940,430000,3,0,0,98027
5,2.0,2260,1.0,1130,1130,1360,258000,4,0,0,98032
3,1.0,1430,1.0,980,450,1450,511000,3,0,0,98103
3,2.0,1360,2.0,1360,0,1500,532170,3,0,0,98103
3,1.0,1110,1.5,1110,0,1420,560000,3,0,0,98107
3,1.0,1250,1.0,1250,0,1680,282950,4,0,0,98003
1,1.0,700,1.0,700,0,1010,350000,3,0,0,98115
3,1.0,1180,1.0,1180,0,1190,215000,4,0,0,98058
5,3.5,3960,2.0,2500,1460,2640,650000,3,0,0,98056
4,2.75,2640,1.0,1620,1020,1980,320000,3,0,0,98023
3,2.0,1270,1.5,1270,0,1160,247000,3,0,0,98022
4,1.75,1760,1.0,1760,0,1730,320000,4,0,0,98059
5,2.25,2060,1.0,1030,1030,1010,255000,3,0,0,98146
3,1.75,1780,1.0,1780,0,1200,438000,3,0,0,98034
3,2.5,3400,2.0,3400,0,3400,900000,3,0,0,98075
3,2.75,1910,1.0,1160,750,1710,441000,3,0,0,98034
3,2.0,2020,1.0,1010,1010,2110,420000,4,0,0,98027
3,1.75,1580,1.0,1180,400,1640,370000,3,0,0,98034
2,1.75,1340,1.0,700,640,1830,269950,5,0,0,98198
4,2.5,2680,2.0,2680,0,2920,807100,3,0,0,98006
3,2.5,2680,1.0,1610,1070,2480,653000,4,0,0,98034
3,2.0,1370,1.0,1370,0,1770,371500,5,0,0,98133
3,1.75,1560,1.0,1560,0,1070,284000,3,0,0,98166
3,1.75,2160,1.0,1670,490,1930,272000,4,0,0,98023
3,1.5,1340,1.5,1340,0,1480,313000,3,0,0,98133
4,2.5,3880,2.0,2570,1310,3740,917500,3,0,0,98033
4,2.25,2590,2.0,2590,0,2260,673000,4,0,0,98006
3,2.5,1120,2.0,820,300,1590,425000,3,0,0,98122
5,2.75,1970,1.0,1320,650,1280,399950,3,0,0,98144
3,1.0,1220,1.0,1220,0,1200,385000,3,0,0,98122
3,1.5,1950,1.0,1320,630,1950,269950,4,0,2,98022
2,1.0,1350,1.0,1060,290,1540,330000,3,0,0,98177
3,2.5,1670,2.0,1670,0,1670,260000,3,0,0,98030
4,3.0,2380,1.5,1680,700,1410,470000,4,0,0,98126
4,3.0,2440,2.0,2440,0,2290,589000,5,0,0,98034
2,1.5,1050,2.0,1050,0,1050,163500,3,0,0,98038
4,2.75,3130,2.0,2140,990,2260,835000,3,0,0,98052
5,3.0,4090,1.0,2090,2000,2540,1100000,4,0,2,98033
4,1.75,1490,1.0,1100,390,2190,269000,4,0,0,98023
3,2.5,1900,2.0,1900,0,2030,560000,3,0,0,98074
4,1.0,1330,1.5,1330,0,1330,615000,4,0,0,98103
3,2.25,2230,1.0,1430,800,2230,585188,3,0,0,98052
3,1.75,1650,1.0,1220,430,1540,305000,3,0,0,98034
3,1.0,1190,1.0,1190,0,1230,166950,3,0,0,98058
3,2.5,2140,1.0,2140,0,2680,799000,4,0,0,98040
3,2.5,2180,1.0,1420,760,1900,400000,4,0,0,98133
3,1.0,1060,1.0,1060,0,1570,230000,3,0,0,98155
3,2.5,1690,2.0,1690,0,2550,256883,3,0,0,98023
4,2.0,1970,1.5,1130,840,1500,423000,5,0,0,98108
3,2.5,2150,2.0,2150,0,1750,465000,3,0,0,98126
3,2.5,1910,2.0,1910,0,2330,440000,3,0,0,98024
3,1.75,1350,1.0,1350,0,1560,385000,4,0,0,98038
3,1.0,860,1.0,860,0,1300,210000,4,0,0,98056
3,2.5,1940,2.0,1940,0,2030,297000,3,0,0,98042
3,1.0,1010,1.0,1010,0,1680,470000,3,0,0,98107
3,1.5,1300,1.0,900,400,1430,226500,4,0,0,98023
3,1.0,910,1.0,910,0,1400,274250,4,0,0,98059
4,1.75,2480,1.0,1630,850,2770,840000,4,0,0,98040
3,2.5,2440,2.0,2440,0,2750,677900,3,0,0,98052
3,1.0,1010,1.0,1010,0,1290,425000,3,0,0,98116
2,0.75,900,1.0,900,0,1250,180250,3,0,0,98166
6,3.0,2300,2.0,1600,700,1560,464000,3,0,0,98133
4,2.25,1550,2.0,1550,0,1630,320000,3,0,0,98038
3,2.25,1270,2.0,1060,210,1160,625504,3,0,0,98105
4,2.5,2240,1.0,2240,0,2520,592500,3,0,0,98074
3,2.5,2714,2.0,2714,0,2590,465000,3,0,0,98001
4,2.75,1720,2.0,1720,0,2130,477000,3,0,0,98118
2,1.0,850,1.0,850,0,1100,280000,3,0,0,98168
3,2.5,2250,2.0,2250,0,1320,445838,3,0,0,98146
2,2.25,3900,1.0,1950,1950,2580,1070000,3,0,3,98144
2,1.5,1320,1.0,1320,0,2120,467000,4,0,0,98177
4,2.5,2760,2.0,2760,0,3070,686000,3,0,0,98075
3,2.0,1750,1.0,1350,400,1900,279950,3,0,0,98198
4,2.25,2330,2.0,2330,0,1910,527000,3,0,0,98011
3,2.25,2220,1.0,1780,440,2080,325000,4,0,0,98030
3,2.25,2020,2.0,2020,0,2020,328000,3,0,0,98038
3,2.25,1250,1.0,1250,0,1280,390000,5,0,0,98146
2,2.0,1510,1.0,1510,0,1640,479950,3,0,0,98053
4,2.25,1720,1.0,1120,600,1510,264950,4,0,0,98023
3,1.0,1430,1.0,980,450,1960,235000,4,0,0,98031
3,2.5,1480,2.0,1480,0,2250,516500,3,0,0,98053
2,1.75,1450,2.0,1230,220,2030,655000,3,1,4,98166
4,2.75,2280,1.0,2280,0,2280,500000,5,0,0,98059
6,2.75,2940,1.0,1780,1160,2120,315000,3,0,0,98023
2,1.0,1000,1.0,1000,0,1150,213000,3,0,0,98024
3,1.5,2480,1.5,1620,860,2090,475000,5,0,0,98108
5,4.0,3760,2.0,3760,0,3430,1030000,3,0,0,98033
3,2.0,2220,1.0,1640,580,2070,416000,5,0,0,98010
4,1.0,1970,1.5,1670,300,1510,410000,3,0,0,98122
3,3.5,3830,2.0,3530,300,2920,800000,3,0,0,98077
6,2.5,4410,1.0,2350,2060,2600,472000,4,0,2,98003
3,1.75,1430,1.0,1430,0,1190,225000,4,0,0,98003
2,1.0,830,1.0,830,0,830,210000,3,0,0,98126
2,1.0,1430,1.5,1430,0,1450,455000,2,0,0,98115
3,1.0,1300,1.0,1300,0,1260,225000,4,0,0,98002
2,1.0,1030,1.0,790,240,1390,480000,4,0,2,98103
3,2.5,2740,2.0,2740,0,2570,363000,3,0,0,98023
2,1.5,720,1.0,720,0,1150,181000,3,0,0,98106
4,2.0,2010,1.0,2010,0,2010,250000,4,0,0,98002
3,1.75,1560,1.0,770,790,1390,481000,4,0,0,98103
3,2.0,1810,1.0,1240,570,1750,260000,4,0,0,98032
4,2.5,3360,2.0,3360,0,3060,455000,3,0,0,98058
3,2.25,1510,2.0,1510,0,1730,415000,3,0,0,98045
3,1.0,1400,1.0,800,600,1620,349500,3,0,0,98118
3,2.5,1730,2.0,1730,0,1630,245000,3,0,0,98030
2,2.0,1420,1.5,1420,0,1420,592500,5,0,2,98115
4,1.75,2360,1.0,1180,1180,1910,385000,4,0,0,98106
3,1.75,1580,1.0,1200,380,1550,315000,4,0,0,98059
3,1.0,1230,1.0,1230,0,1380,255000,3,0,0,98045
4,2.5,2460,2.0,2460,0,2990,693000,3,0,0,98052
3,1.0,1660,1.5,1460,200,1660,780000,3,0,0,98112
3,1.75,1270,1.0,1270,0,1600,237000,4,0,0,98198
3,2.25,2100,2.0,1320,780,2380,525000,3,0,0,98074
2,1.0,770,1.0,770,0,1330,425000,3,0,0,98144
1,0.75,760,1.0,760,0,1230,369900,5,1,4,98070
4,2.5,1700,2.0,1700,0,1950,290000,4,0,0,98031
3,1.0,1120,1.0,1120,0,1130,285000,3,0,0,98106
2,1.0,1070,1.0,1070,0,1320,415000,3,0,0,98115
3,2.5,2070,1.0,1420,650,2070,272500,3,0,0,98023
2,1.0,1040,1.0,1040,0,1440,436000,4,0,0,98133
3,1.0,1700,1.0,1700,0,1350,210000,4,0,0,98003
3,1.0,1300,1.0,1300,0,1320,236000,3,0,0,98178
3,1.75,1080,1.0,580,500,1440,331000,3,0,0,98199
3,2.5,2653,2.0,2653,0,2653,365000,3,0,0,98031
3,2.0,2290,1.0,2290,0,1660,450000,5,0,0,98058
4,2.75,3820,2.0,2850,970,1860,770000,3,0,0,98028
4,2.5,2210,1.0,2210,0,2670,455000,3,0,0,98038
3,1.75,2390,1.0,1240,1150,2020,405000,3,0,0,98118
4,1.75,2600,1.0,1610,990,1720,304900,4,0,0,98031
2,1.0,860,1.0,860,0,1650,170000,3,0,0,98178
4,2.5,3500,2.0,3500,0,3920,780000,3,0,0,98053
3,3.0,2420,1.0,1740,680,2570,330000,4,0,0,98028
4,2.5,2720,2.0,2720,0,2410,370000,3,0,0,98030
5,2.25,2500,1.0,1850,650,2300,467000,3,0,0,98072
3,1.75,1670,1.0,1140,530,1670,405000,3,0,0,98034
5,2.25,2900,1.0,1450,1450,2310,675000,3,0,0,98006
2,1.0,1640,1.0,1140,500,1520,500000,4,0,0,98006
4,2.5,1890,2.0,1890,0,2410,389999,4,0,0,98166
4,1.75,2950,1.0,1780,1170,2120,630000,4,0,2,98034
4,2.5,2160,2.0,2160,0,2280,360000,3,0,0,98001
4,3.0,3280,2.0,2270,1010,2320,580000,3,0,0,98056
3,2.0,1970,2.0,1270,700,2390,550000,5,0,3,98126
4,2.5,3360,2.0,3360,0,3150,879000,3,0,0,98075
3,2.0,1320,1.0,1320,0,1740,265000,3,0,0,98042
3,2.5,2650,2.0,2650,0,2400,446500,3,0,0,98059
3,1.5,2030,1.0,1330,700,2140,404000,3,0,0,98108
3,1.75,1590,1.0,1090,500,1630,267500,3,0,2,98188
3,2.5,2440,2.0,2440,0,2510,335000,3,0,0,98003
3,2.5,1940,1.0,970,970,2190,576000,4,0,0,98117
3,2.5,2040,2.0,2040,0,2370,208633,3,0,0,98038
3,2.25,2200,1.0,1120,1080,1460,315000,4,0,0,98166
3,1.75,1920,1.0,960,960,1740,725000,4,0,0,98112
4,2.75,1800,1.0,1400,400,1800,550000,4,0,0,98177
4,2.25,2180,2.0,2180,0,2250,610750,3,0,0,98074
2,1.0,1010,1.5,1010,0,1460,550700,4,0,0,98105
4,2.75,3320,2.0,2220,1100,2720,665000,5,0,0,98056
4,2.5,2370,1.5,1980,390,2440,834000,5,0,2,98144
5,1.75,1660,1.5,1660,0,1660,201000,3,0,0,98065
4,2.25,1950,1.0,1350,600,2150,305000,3,0,0,98058
3,2.0,2590,1.0,1720,870,1570,487000,5,0,0,98133
3,2.5,1930,1.0,1930,0,2350,390000,4,0,0,98042
2,1.0,1470,1.0,1170,300,1570,548000,4,0,0,98103
4,1.0,800,1.0,800,0,1310,268750,3,0,0,98166
5,2.75,3150,2.0,3150,0,1560,819900,3,0,0,98052
3,2.25,2030,2.0,2030,0,2660,520000,3,0,0,98027
3,2.0,1450,1.0,1450,0,1520,230000,3,0,0,98001
3,1.75,1510,1.0,1510,0,1510,240000,3,0,0,98023
2,1.0,1240,1.0,960,280,1820,232000,3,0,0,98146
2,1.0,1240,1.0,960,280,1820,240500,3,0,0,98146
3,2.5,3030,2.0,3030,0,3080,274975,3,0,0,98077
4,2.0,2050,1.5,2050,0,2320,740000,4,0,0,98102
3,1.0,1000,1.0,1000,0,1150,186375,2,0,0,98166
3,2.25,2370,1.0,1590,780,2500,790000,4,0,0,98005
4,3.5,2800,2.0,1890,910,2370,880000,3,0,0,98105
6,1.75,2240,2.0,2240,0,1590,279000,4,0,0,98198
3,2.0,1810,1.0,1810,0,1910,295000,3,0,2,98022
2,1.0,1070,1.0,1070,0,1710,640000,3,0,0,98103
4,2.0,2490,2.0,2490,0,2770,940000,5,0,0,98040
4,2.5,1960,2.0,1960,0,1800,260000,3,0,0,98038
3,2.75,2930,1.0,1860,1070,2580,559900,3,0,0,98072
4,2.0,1510,1.5,1510,0,1820,791500,5,0,0,98103
3,1.75,1420,1.0,1420,0,1740,265000,3,0,0,98133
3,1.75,1740,1.0,1740,0,880,245000,3,0,0,98178
4,1.75,2560,2.0,2560,0,2560,485000,4,0,0,98052
4,3.5,3040,2.0,2420,620,3470,684000,3,0,0,98059
3,1.75,2500,1.0,1300,1200,1580,425000,3,0,0,98125
4,1.75,1275,1.0,1275,0,1660,309600,4,0,0,98070
4,2.5,2580,2.0,2580,0,2380,552250,3,0,0,98065
4,1.0,1000,1.0,1000,0,1020,165000,3,0,0,98178
4,1.0,1000,1.0,1000,0,1020,239900,3,0,0,98178
2,1.0,1070,1.0,1070,0,1360,320000,4,0,0,98059
3,2.0,1390,1.0,1390,0,1720,206600,4,0,0,98030
4,1.75,2500,1.0,1250,1250,2040,387000,3,0,0,98155
1,0.75,560,1.0,560,0,1300,299000,3,0,0,98014
4,2.75,2270,2.0,2270,0,2610,855000,3,0,0,98040
3,1.0,1900,1.0,1300,600,1940,315000,4,0,0,98166
2,1.0,990,1.0,790,200,1930,437500,5,0,2,98103
4,1.5,1550,1.0,1050,500,1640,252000,4,0,0,98001
4,1.75,2200,1.0,1100,1100,1600,375000,5,0,0,98118
4,2.5,1910,2.0,1910,0,2010,300000,3,0,0,98038
4,1.0,1750,1.5,1750,0,1750,420000,4,0,0,98006
3,1.0,1330,1.0,1330,0,1340,900000,3,0,0,98033
3,2.5,2440,2.0,1980,460,1520,679900,3,0,2,98116
3,2.5,1640,2.0,1640,0,1580,463000,3,0,0,98053
5,2.5,2760,2.0,2760,0,2470,380000,4,0,0,98059
4,2.5,1820,2.0,1820,0,1820,329500,3,0,0,98038
3,2.5,2110,1.0,1340,770,2040,604950,3,0,0,98033
5,2.5,3040,1.0,1640,1400,2920,795000,4,0,2,98006
3,2.0,1840,2.0,1840,0,1380,465000,3,0,0,98045
4,2.5,2990,2.0,2990,0,2140,673000,3,0,0,98166
4,2.5,3520,2.0,3520,0,3400,810000,3,0,0,98074
4,2.75,2440,1.0,1910,530,2770,785000,4,0,0,98075
4,3.0,2090,1.0,1370,720,1810,338000,3,0,0,98056
3,2.25,1430,2.0,1430,0,1430,280000,3,0,0,98056
4,2.25,2180,1.0,1100,1080,1810,315000,5,0,0,98133
4,2.25,2180,1.0,1100,1080,1810,530000,5,0,0,98133
5,3.0,3450,2.0,3450,0,2860,380000,3,0,0,98023
3,2.25,1450,2.0,1450,0,1650,297000,3,0,0,98056
4,2.5,3230,2.0,3230,0,3480,730000,3,0,0,98075
3,1.75,1640,1.0,1110,530,1770,450000,3,0,0,98125
3,3.0,1590,1.0,1060,530,1680,275000,3,0,0,98038
4,2.0,2020,2.0,2020,0,1910,595000,3,0,0,98115
3,1.5,1300,1.5,1300,0,1590,435000,3,0,0,98144
2,1.5,1380,1.0,1380,0,3130,270000,1,0,0,98011
3,3.0,4040,2.0,3030,1010,3360,950000,3,0,0,98077
4,2.25,2130,2.0,2130,0,2300,389000,3,0,0,98019
4,2.25,2550,1.0,1580,970,2420,560000,3,0,0,98052
4,2.25,2510,2.0,2510,0,2450,799000,4,0,0,98040
3,2.0,1410,1.0,1410,0,1410,365500,4,0,0,98072
3,2.0,1650,1.0,1160,490,1710,252350,3,0,0,98058
4,2.5,2120,2.0,2120,0,1880,403950,3,0,0,98146
4,1.5,2040,1.0,1380,660,1610,385000,3,0,0,98177
4,1.0,1550,1.5,1550,0,1450,345000,3,0,0,98106
3,2.75,1980,2.0,1980,0,1950,490000,4,0,0,98008
3,2.5,1600,2.0,1600,0,1790,330000,3,0,0,98019
4,2.75,3300,2.0,3300,0,3180,927000,3,0,0,98004
4,2.5,3840,2.0,3840,0,3600,1120000,4,0,1,98040
2,1.0,1220,1.0,1220,0,2000,330000,5,0,0,98028
5,2.25,2720,1.0,1500,1220,2110,530000,4,0,0,98008
4,2.0,1940,1.0,1940,0,2000,365000,1,0,0,98006
3,2.5,2160,1.5,1260,900,1060,378750,3,0,0,98118
4,1.75,1530,1.5,1530,0,1390,269900,4,0,0,98058
3,3.5,1710,2.0,1290,420,1630,557000,3,0,0,98122
4,1.75,3730,1.0,2150,1580,1880,360000,4,0,0,98022
2,1.0,940,1.0,940,0,1560,352000,4,0,0,98117
3,2.5,1750,2.0,1750,0,2430,437000,3,0,0,98045
4,2.5,1820,2.0,1820,0,1820,322500,3,0,0,98038
3,3.25,1510,2.0,1330,180,1510,650000,3,0,0,98116
3,2.0,1290,3.0,1290,0,1290,450000,3,0,0,98103
3,2.0,1570,1.0,1570,0,1570,278500,3,0,0,98092
4,2.5,1930,2.0,1930,0,2090,364950,3,0,0,98055
4,3.5,2840,1.0,2840,0,3180,840000,4,0,4,98038
3,2.5,1550,2.0,1550,0,1550,268000,3,0,0,98031
2,1.0,833,1.0,833,0,1380,517534,3,0,0,98070
3,2.5,2990,2.0,2990,0,2990,632925,4,0,0,98077
3,2.5,2000,2.0,2000,0,2450,577500,3,0,0,98034
4,1.5,2390,1.5,2390,0,2850,339000,3,0,2,98178
3,1.75,2910,1.0,1530,1380,2520,570000,4,0,0,98052
4,1.75,2085,1.0,1610,475,2690,563500,3,0,0,98024
4,2.25,2200,1.0,1290,910,1910,423000,5,0,0,98133
3,2.25,1860,2.0,1860,0,2320,355000,3,0,0,98019
2,1.0,950,1.0,950,0,1320,482000,3,0,0,98103
3,1.75,1600,1.0,1600,0,1580,625000,5,0,0,98006
3,2.5,2250,2.0,2250,0,2360,538000,3,0,0,98056
3,2.5,2280,2.0,2280,0,2310,380000,4,0,0,98058
2,1.0,940,1.0,940,0,1300,375000,3,0,0,98122
3,2.5,1530,1.0,1030,500,1850,245000,5,0,0,98038
5,1.75,2190,1.0,2190,0,1620,310000,4,0,0,98166
4,2.0,1440,1.0,1200,240,1460,397000,3,0,0,98034
3,2.5,2200,2.0,2200,0,2310,365000,3,0,0,98058
4,3.0,2290,2.0,2290,0,2290,328500,3,0,0,98042
4,3.0,4040,2.0,4040,0,3930,988000,3,0,0,98052
4,2.5,2610,1.5,1920,690,1810,1000000,5,0,0,98103
3,2.5,1490,2.0,1490,0,1490,237000,3,0,0,98055
4,2.5,2450,2.0,2450,0,2300,525000,3,0,0,98011
4,2.5,1710,1.0,1440,270,2140,749000,3,0,0,98006
5,2.5,4870,2.0,3470,1400,3180,722500,3,0,0,98074
